"Ukazatel","Území","Roky","Hodnota"
"Vývoz (v mil. Kč, FOB)","Česko","2024","4663189.076956"
"Dovoz (v mil. Kč, CIF)","Česko","2024","4442700.143978"
"Bilance (v mil. Kč)","Česko","2024","220488.932978"
"Vývoz (meziroční index)","Česko","2024","104.9690195136"
"Dovoz (meziroční index)","Česko","2024","102.8416928227"
"Vývoz (v mil. Kč, FOB)","Česko","2023","4442443.207112"
"Dovoz (v mil. Kč, CIF)","Česko","2023","4319940.699183"
"Bilance (v mil. Kč)","Česko","2023","122502.507929"
"Vývoz (meziroční index)","Česko","2023","100.7969446977"
"Dovoz (meziroční index)","Česko","2023","93.6646853335"
"Vývoz (v mil. Kč, FOB)","Česko","2022","4407319.309563"
"Dovoz (v mil. Kč, CIF)","Česko","2022","4612133.894221"
"Bilance (v mil. Kč)","Česko","2022","-204814.584658"
"Vývoz (meziroční index)","Česko","2022","113.5501707041"
"Dovoz (meziroční index)","Česko","2022","118.5458837997"
"Vývoz (v mil. Kč, FOB)","Česko","2021","3881385.014424"
"Dovoz (v mil. Kč, CIF)","Česko","2021","3890589.657261"
"Bilance (v mil. Kč)","Česko","2021","-9204.642837"
"Vývoz (meziroční index)","Česko","2021","113.1407234207"
"Dovoz (meziroční index)","Česko","2021","119.6757789906"
"Vývoz (v mil. Kč, FOB)","Česko","2020","3430581.754363"
"Dovoz (v mil. Kč, CIF)","Česko","2020","3250941.577382"
"Bilance (v mil. Kč)","Česko","2020","179640.176981"
"Vývoz (meziroční index)","Česko","2020","92.9252924552"
"Dovoz (meziroční index)","Česko","2020","91.6773488551"
"Vývoz (v mil. Kč, FOB)","Česko","2019","3691763.204316"
"Dovoz (v mil. Kč, CIF)","Česko","2019","3546068.486905"
"Bilance (v mil. Kč)","Česko","2019","145694.717411"
"Vývoz (meziroční index)","Česko","2019","102.0884439686"
"Dovoz (meziroční index)","Česko","2019","100.8043226172"
"Vývoz (v mil. Kč, FOB)","Česko","2018","3616240.056958"
"Dovoz (v mil. Kč, CIF)","Česko","2018","3517774.233125"
"Bilance (v mil. Kč)","Česko","2018","98465.823833"
"Vývoz (meziroční index)","Česko","2018","102.9418083572"
"Dovoz (meziroční index)","Česko","2018","105.026036361"
"Vývoz (v mil. Kč, FOB)","Česko","2017","3512897.349161"
"Dovoz (v mil. Kč, CIF)","Česko","2017","3349431.001235"
"Bilance (v mil. Kč)","Česko","2017","163466.347926"
"Vývoz (meziroční index)","Česko","2017","106.4802705296"
"Dovoz (meziroční index)","Česko","2017","106.8245079237"
"Vývoz (v mil. Kč, FOB)","Česko","2016","3299106.33368"
"Dovoz (v mil. Kč, CIF)","Česko","2016","3135451.841844"
"Bilance (v mil. Kč)","Česko","2016","163654.491836"
"Vývoz (meziroční index)","Česko","2016","101.1074296542"
"Dovoz (meziroční index)","Česko","2016","100.1103896329"
"Vývoz (v mil. Kč, FOB)","Česko","2015","3262971.222752"
"Dovoz (v mil. Kč, CIF)","Česko","2015","3131994.444675"
"Bilance (v mil. Kč)","Česko","2015","130976.778077"
"Vývoz (meziroční index)","Česko","2015","103.6"
"Dovoz (meziroční index)","Česko","2015","104.3"
"Vývoz (v mil. Kč, FOB)","Česko","2014","3149198"
"Dovoz (v mil. Kč, CIF)","Česko","2014","3003189"
"Bilance (v mil. Kč)","Česko","2014","146009"
"Vývoz (meziroční index)","Česko","2014","113"
"Dovoz (meziroční index)","Česko","2014","112.1"
"Vývoz (v mil. Kč, FOB)","Česko","2013","2786230"
"Dovoz (v mil. Kč, CIF)","Česko","2013","2679711"
"Bilance (v mil. Kč)","Česko","2013","106518"
"Vývoz (meziroční index)","Česko","2013","102.2"
"Dovoz (meziroční index)","Česko","2013","100.7"
"Vývoz (v mil. Kč, FOB)","Česko","2012","2725843"
"Dovoz (v mil. Kč, CIF)","Česko","2012","2661432"
"Bilance (v mil. Kč)","Česko","2012","64410"
"Vývoz (meziroční index)","Česko","2012","106"
"Dovoz (meziroční index)","Česko","2012","104"
"Vývoz (v mil. Kč, FOB)","Česko","2011","2570941"
"Dovoz (v mil. Kč, CIF)","Česko","2011","2558964"
"Bilance (v mil. Kč)","Česko","2011","11977"
"Vývoz (meziroční index)","Česko","2011","110.1"
"Dovoz (meziroční index)","Česko","2011","108.6"
"Vývoz (v mil. Kč, FOB)","Česko","2010","2334841"
"Dovoz (v mil. Kč, CIF)","Česko","2010","2355420"
"Bilance (v mil. Kč)","Česko","2010","-20579"
"Vývoz (meziroční index)","Česko","2010","114.8"
"Dovoz (meziroční index)","Česko","2010","117.6"
