Exporter Country ID,Exporter Country,Year,Trade Value,HS6,Cube
afago,Angola,2018,334.0,16850610,trade_i_baci_a_96
afben,Benin,2018,454553.0,16850610,trade_i_baci_a_96
afbfa,Burkina Faso,2018,630.0,16850610,trade_i_baci_a_96
afbwa,Botswana,2018,6212.0,16850610,trade_i_baci_a_96
afcaf,Central African Republic,2018,8726.0,16850610,trade_i_baci_a_96
afciv,Cote d'Ivoire,2018,5756.0,16850610,trade_i_baci_a_96
afcmr,Cameroon,2018,1002.0,16850610,trade_i_baci_a_96
afcod,Democratic Republic of the Congo,2018,5029.999999999999,16850610,trade_i_baci_a_96
afcog,Republic of the Congo,2018,243.0,16850610,trade_i_baci_a_96
afegy,Egypt,2018,3650802.0,16850610,trade_i_baci_a_96
afgab,Gabon,2018,87.0,16850610,trade_i_baci_a_96
afgha,Ghana,2018,149641.0,16850610,trade_i_baci_a_96
afgin,Guinea,2018,42281.00000000001,16850610,trade_i_baci_a_96
afgmb,Gambia,2018,2105.0,16850610,trade_i_baci_a_96
afgnq,Equatorial Guinea,2018,2182.0,16850610,trade_i_baci_a_96
afken,Kenya,2018,326758.0,16850610,trade_i_baci_a_96
aflby,Libya,2018,100.0,16850610,trade_i_baci_a_96
aflso,Lesotho,2018,24.0,16850610,trade_i_baci_a_96
afmar,Morocco,2018,11909.0,16850610,trade_i_baci_a_96
afmdg,Madagascar,2018,13555.0,16850610,trade_i_baci_a_96
afmli,Mali,2018,1458404.0,16850610,trade_i_baci_a_96
afmoz,Mozambique,2018,727.0,16850610,trade_i_baci_a_96
afmus,Mauritius,2018,626.0,16850610,trade_i_baci_a_96
afmwi,Malawi,2018,41.0,16850610,trade_i_baci_a_96
afnam,Namibia,2018,12668.0,16850610,trade_i_baci_a_96
afner,Niger,2018,825277.0,16850610,trade_i_baci_a_96
afnga,Nigeria,2018,82577.0,16850610,trade_i_baci_a_96
afrwa,Rwanda,2018,30864.0,16850610,trade_i_baci_a_96
afsdn,Sudan,2018,1.0,16850610,trade_i_baci_a_96
afsen,Senegal,2018,82729.0,16850610,trade_i_baci_a_96
afsle,Sierra Leone,2018,20083.000000000004,16850610,trade_i_baci_a_96
afstp,Sao Tome and Principe,2018,26951.0,16850610,trade_i_baci_a_96
afswz,Eswatini,2018,1314.0,16850610,trade_i_baci_a_96
aftcd,Chad,2018,301.0,16850610,trade_i_baci_a_96
aftgo,Togo,2018,1408376.0000000002,16850610,trade_i_baci_a_96
aftun,Tunisia,2018,54571.0,16850610,trade_i_baci_a_96
aftza,Tanzania,2018,129.0,16850610,trade_i_baci_a_96
afuga,Uganda,2018,3576.0,16850610,trade_i_baci_a_96
afzaf,South Africa,2018,3752713.0,16850610,trade_i_baci_a_96
afzmb,Zambia,2018,914.0,16850610,trade_i_baci_a_96
afzwe,Zimbabwe,2018,3750.0,16850610,trade_i_baci_a_96
asafg,Afghanistan,2018,636.0,16850610,trade_i_baci_a_96
asare,United Arab Emirates,2018,18198671.0,16850610,trade_i_baci_a_96
asarm,Armenia,2018,22273.000000000004,16850610,trade_i_baci_a_96
asaze,Azerbaijan,2018,1980.0,16850610,trade_i_baci_a_96
asbgd,Bangladesh,2018,55114.0,16850610,trade_i_baci_a_96
asbhr,Bahrain,2018,43279.0,16850610,trade_i_baci_a_96
asbrn,Brunei,2018,283892.0,16850610,trade_i_baci_a_96
aschn,China,2018,1512832713.0,16850610,trade_i_baci_a_96
ascyp,Cyprus,2018,834496.0,16850610,trade_i_baci_a_96
asgeo,Georgia,2018,4956.0,16850610,trade_i_baci_a_96
ashkg,Hong Kong,2018,34716329.0,16850610,trade_i_baci_a_96
asidn,Indonesia,2018,171816925.0,16850610,trade_i_baci_a_96
asind,India,2018,8556403.0,16850610,trade_i_baci_a_96
asirn,Iran,2018,8067.0,16850610,trade_i_baci_a_96
asisr,Israel,2018,508886.0,16850610,trade_i_baci_a_96
asjpn,Japan,2018,28931100.0,16850610,trade_i_baci_a_96
askaz,Kazakhstan,2018,69045.0,16850610,trade_i_baci_a_96
askhm,Cambodia,2018,119.00000000000001,16850610,trade_i_baci_a_96
askor,South Korea,2018,9969566.0,16850610,trade_i_baci_a_96
askwt,Kuwait,2018,121859.0,16850610,trade_i_baci_a_96
aslbn,Lebanon,2018,12447.0,16850610,trade_i_baci_a_96
aslka,Sri Lanka,2018,146187.0,16850610,trade_i_baci_a_96
asmac,Macau,2018,245666.0,16850610,trade_i_baci_a_96
asmmr,Myanmar,2018,1609.0,16850610,trade_i_baci_a_96
asmys,Malaysia,2018,128160890.0,16850610,trade_i_baci_a_96
asnpl,Nepal,2018,3859.0,16850610,trade_i_baci_a_96
asomn,Oman,2018,968854.0,16850610,trade_i_baci_a_96
aspak,Pakistan,2018,938.0,16850610,trade_i_baci_a_96
asphl,Philippines,2018,991268.0,16850610,trade_i_baci_a_96
asprk,North Korea,2018,8375.0,16850610,trade_i_baci_a_96
asqat,Qatar,2018,2252.0,16850610,trade_i_baci_a_96
assau,Saudi Arabia,2018,536597.0,16850610,trade_i_baci_a_96
assgp,Singapore,2018,289455155.0,16850610,trade_i_baci_a_96
assyr,Syria,2018,92.0,16850610,trade_i_baci_a_96
astha,Thailand,2018,79410944.0,16850610,trade_i_baci_a_96
astur,Turkey,2018,1243597.0,16850610,trade_i_baci_a_96
astwn,Chinese Taipei,2018,978284.0,16850610,trade_i_baci_a_96
asuzb,Uzbekistan,2018,35.0,16850610,trade_i_baci_a_96
asvnm,Vietnam,2018,9013986.0,16850610,trade_i_baci_a_96
eualb,Albania,2018,16094.999999999998,16850610,trade_i_baci_a_96
euand,Andorra,2018,69110.0,16850610,trade_i_baci_a_96
euaut,Austria,2018,2175153.0,16850610,trade_i_baci_a_96
eubel,Belgium,2018,416447187.0,16850610,trade_i_baci_a_96
eubgr,Bulgaria,2018,393925.0,16850610,trade_i_baci_a_96
eubih,Bosnia and Herzegovina,2018,8009.000000000001,16850610,trade_i_baci_a_96
eublr,Belarus,2018,299999.0,16850610,trade_i_baci_a_96
euche,Switzerland,2018,3632473.0,16850610,trade_i_baci_a_96
eucze,Czechia,2018,15794276.000000002,16850610,trade_i_baci_a_96
eudeu,Germany,2018,258598013.0,16850610,trade_i_baci_a_96
eudnk,Denmark,2018,3690257.0,16850610,trade_i_baci_a_96
euesp,Spain,2018,22619605.0,16850610,trade_i_baci_a_96
euest,Estonia,2018,1551885.0,16850610,trade_i_baci_a_96
eufin,Finland,2018,1111275.0,16850610,trade_i_baci_a_96
eufra,France,2018,18010377.0,16850610,trade_i_baci_a_96
eugbr,United Kingdom,2018,56608398.0,16850610,trade_i_baci_a_96
eugrc,Greece,2018,10679840.0,16850610,trade_i_baci_a_96
euhrv,Croatia,2018,261580.0,16850610,trade_i_baci_a_96
euhun,Hungary,2018,3061792.0,16850610,trade_i_baci_a_96
euirl,Ireland,2018,815240.0,16850610,trade_i_baci_a_96
euisl,Iceland,2018,5054.0,16850610,trade_i_baci_a_96
euita,Italy,2018,13184124.0,16850610,trade_i_baci_a_96
eultu,Lithuania,2018,3313465.0,16850610,trade_i_baci_a_96
eulux,Luxembourg,2018,424085.0,16850610,trade_i_baci_a_96
eulva,Latvia,2018,1623324.0,16850610,trade_i_baci_a_96
eumkd,North Macedonia,2018,7617.0,16850610,trade_i_baci_a_96
eumlt,Malta,2018,591712.0,16850610,trade_i_baci_a_96
eumne,Montenegro,2018,899.0,16850610,trade_i_baci_a_96
eunld,Netherlands,2018,47067742.0,16850610,trade_i_baci_a_96
eunor,Norway,2018,689518.0,16850610,trade_i_baci_a_96
eupol,Poland,2018,181997724.0,16850610,trade_i_baci_a_96
euprt,Portugal,2018,833070.0,16850610,trade_i_baci_a_96
eurou,Romania,2018,8133163.0,16850610,trade_i_baci_a_96
eurus,Russia,2018,6148346.0,16850610,trade_i_baci_a_96
eusrb,Serbia,2018,123058.0,16850610,trade_i_baci_a_96
eusvk,Slovakia,2018,3574802.0,16850610,trade_i_baci_a_96
eusvn,Slovenia,2018,601217.0,16850610,trade_i_baci_a_96
